,ref,nox,atpase
(GLCptspp),11.7,15.6,9.2
((PGI)),6.8,10.5,4.7
((PFK)_AND_(FBA)_AND_(TPI)),9.6,13.5,7.1
((GAPD)_AND_(-PGK)),20.4,28.3,15.3
((-PGM)_AND_(ENO)),19.3,27.2,14.1
((PYK)),4.9,9.4,2.4
((G6PDH2r)_AND_(PGL)),4.9,5.1,4.4
((GND)),4.9,5.1,4.4
((RPE)),2.8,3,2.4
((RPI)),2.1,2.1,2
(TKT1),1.5,1.6,1.3
(TKT2),1.3,1.4,1.1
(TALA),1.5,1.6,1.3
((CS)_AND_(ACONTa)_AND_(ACONTb)),5.6,5.1,2.5
(ICDHyr),5.6,5.1,2.5
((AKGDH)_AND_(-SUCOAS)_AND_(SUCDi)_AND_(FUM)),4.8,4.3,1.6
((MDH)_OR_(MDH2)_OR_(MDH3)),4.5,4.4,1.6
((PDH)),15,23.3,9.5
((ME1)_OR_(ME2)),0.2,0,0
((PPC)),4,6.5,4
((PTAr)_AND_(-ACKr)),7.9,16.8,5.5
"iAF1260: (Biomass), iJO1366: (Ec_biomass_iJO1366_core_53p95M)",0.63,0.58,0.67
